Item	Year	LearningArea	Strand	Substrand	Text	Elaborations
ACSSU111	7	Science	Science Understanding	Biological Sciences	Classification helps organise the diverse group of organisms	"_ considering the reasons for classifying such as identification and communication; grouping a variety of organisms on the basis of similarities and differences in particular features; considering how biological classifications have changed over time; classifying using hierarchical systems such as kingdom, phylum, class, order, family, genus, species; using scientific conventions for naming species; using provided keys to identify organisms surveyed in a local habitat"
ACSSU112	7	Science	Science Understanding	Biological Sciences	Interactions between organisms, including the effects of human activities can be represented by food chains and food webs	"_ using food chains to show feeding relationships in a habitat; constructing and interpreting food webs to show relationships between organisms in an environment; classifying organisms of an environment according to their position in a food chain; recognising the role of microorganisms within food chains and food webs; investigating the effect of human activity on local habitats, such as deforestation, agriculture or the introduction of new species; exploring how living things can cause changes to their environment and impact other living things, such as the effect of cane toads; researching specific examples of human activity, such as the use of fire by traditional Aboriginal people and the effects of palm oil production in Sumatra and Borneo"
ACSSU113	7	Science	Science Understanding	Chemical Sciences	Mixtures, including solutions, contain a combination of pure substances that can be separated using a range of techniques 	"_ recognising the differences between pure substances and mixtures and identifying examples of each; identifying the solvent and solute in solutions; investigating and using a range of physical separation techniques such as filtration, decantation, evaporation, crystallisation, chromatography and distillation; exploring and comparing separation methods used in the home"
ACSSU115	7	Science	Science Understanding	Earth and Space Sciences	Predictable phenomena on Earth, including seasons and eclipses, are caused by the relative positions of the sun, Earth and the moon	"_ investigating natural phenomena such as lunar and solar eclipses, seasons and phases of the moon; comparing times for the rotation of Earth, the sun and moon, and comparing the times for the orbits of Earth and the moon; modelling the relative movements of the Earth, sun and moon and how natural phenomena such as solar and lunar eclipses and phases of the moon occur; explaining why different regions of the Earth experience different seasonal conditions"
ACSSU116	7	Science	Science Understanding	Earth and Space Sciences	Some of Earth’s resources are renewable, including water that cycles through the environment, but others are non-renewable	"_ considering what is meant by the term ‘renewable’ in relation to the Earth’s resources; considering timescales for regeneration of resources; comparing renewable and non-renewable energy sources, including how they are used in a range of situations; considering the water cycle in terms of changes of state of water; investigating factors that influence the water cycle in nature; exploring how human management of water impacts on the water cycle"
ACSSU117	7	Science	Science Understanding	Physical Sciences	Change to an object’s motion is caused by unbalanced forces, including Earth’s gravitational attraction, acting on the object	"_ investigating the effects of applying different forces to familiar objects; investigating common situations where forces are balanced, such as stationary objects, and unbalanced, such as falling objects; investigating a simple machine such as lever or pulley system; exploring how gravity affects objects on the surface of Earth; considering how gravity keeps planets in orbit around the sun"
ACSHE119	7	Science	Science as a Human Endeavour	Nature and development of science	Scientific knowledge has changed peoples’ understanding of the world and is refined as new evidence becomes available	"_ investigating how advances in telescopes and space probes have provided new evidence about space; researching different ideas used in the development of models of the solar system developed by scientists such as Copernicus, Khayyám and Galileo; researching developments in the understanding of astronomy, such as the predictions of eclipses and the calculation of the length of the solar year by Al‑Battani in the tenth century"
ACSHE223	7	Science	Science as a Human Endeavour	Nature and development of science	Science knowledge can develop through collaboration across the disciplines of science and the contributions of people from a range of cultures	"_ considering how water use and management relies on knowledge from different areas of science, and involves the application of technology; identifying the contributions of Australian scientists to the study of human impact on environments and to local environmental management projects; investigating how land management practices of Aboriginal and Torres Strait Islander peoples can help inform sustainable management of the environment; studying transnational collaborative research in the Antarctic; recognising that traditional and Western scientific knowledge can be used in combination to care for Country/Place"
ACSHE120	7	Science	Science as a Human Endeavour	Use and influence of science	Solutions to contemporary issues that are found using science and technology, may impact on other areas of society and may involve ethical considerations	"_ relating regulations about wearing seatbelts or safety helmets to knowledge of forces and motion; considering issues relating to the use and management of water within a community; considering decisions made in relation to the recycling of greywater and blackwater; considering how human activity in the community can have positive and negative effects on the sustainability of ecosystems; investigating ways to control the spread of the cane toad"
ACSHE121	7	Science	Science as a Human Endeavour	Use and influence of science	People use science understanding and skills in their occupations and these have influenced the development of practices in areas of human activity	"_ investigating everyday applications of physical separation techniques such as filtering, sorting waste materials, reducing pollution, extracting products from plants, separating blood products and cleaning up oil spills; investigating how advances in science and technology have been applied to the treatment of water in industrial and household systems; investigating how Aboriginal and Torres Strait Islander knowledge is being used to inform scientific decisions, for example care of waterways; researching the different scientific responses to the rabbit plagues in Australian agricultural areas; recognising that water management plays a role in areas such as farming, land management and gardening; investigating how separation techniques are used in the food and wine industries; considering how seasonal changes affect people in a variety of activities such as farming; considering how sports scientists apply knowledge of forces to improve performance"
ACSIS124	7	Science	Science Inquiry Skills	Questioning and predicting	Identify questions and problems that can be investigated scientifically and make predictions based on scientific knowledge	"_ working collaboratively to identify a problem to investigate; recognising that the solution of some questions and problems requires consideration of social, cultural, economic or moral aspects rather than or as well as scientific investigation; using information and knowledge from previous investigations to predict the expected results from an investigation"
ACSIS125	7	Science	Science Inquiry Skills	Planning and conducting	Collaboratively and individually plan and conduct a range of investigation types, including fieldwork and experiments, ensuring safety and ethical guidelines are followed 	"_ working collaboratively to decide how to approach an investigation; learning and applying specific skills and rules relating to the safe use of scientific equipment; identifying whether the use of their own observations and experiments or the use of other research materials is appropriate for their investigation; developing strategies and techniques for effective research using secondary sources, including use of the internet"
ACSIS126	7	Science	Science Inquiry Skills	Planning and conducting	Measure and control variables, select equipment appropriate to the task and collect data with accuracy	"_ recognising the differences between controlled, dependent and independent variables; using a digital camera to record observations and compare images using information technologies; using specialised equipment to increase the accuracy of measurement within an investigation"
ACSIS129	7	Science	Science Inquiry Skills	Processing and analysing data and information	Construct and use a range of representations, including graphs, keys and models to represent and analyse patterns or relationships in data using digital technologies as appropriate 	"_ understanding different types of graphical and physical representation and considering their advantages and disadvantages; using spreadsheets to aid the presentation and simple analysis of data; describing the trends shown in collected data"
ACSIS130	7	Science	Science Inquiry Skills	Processing and analysing data and information	Summarise data, from students’ own investigations and secondary sources, and use scientific understanding to identify relationships and draw conclusions based on evidence	"_ using diagrammatic representations to convey abstract ideas and to simplify complex situations; comparing and contrasting data from a number of sources in order to create a summary of collected data; identifying data which provides evidence to support or negate the hypothesis under investigation; referring to relevant evidence when presenting conclusions drawn from an investigation"
ACSIS131	7	Science	Science Inquiry Skills	Evaluating	Reflect on scientific investigations including evaluating the quality of the data collected, and identifying improvements	"_ discussing investigation methods with others to share ideas about the quality of the inquiry process; identifying and considering indicators of the quality of the data when analysing results; suggesting improvements to inquiry methods based on experience"
ACSIS132	7	Science	Science Inquiry Skills	Evaluating	Use scientific knowledge and findings from investigations to evaluate claims based on evidence	_ using the evidence provided by scientific investigations to evaluate the claims or conclusions of their peers
ACSIS133	7	Science	Science Inquiry Skills	Communicating	Communicate ideas, findings and evidence based solutions to problems using scientific language, and representations, using digital technologies as appropriate	"_ presenting the outcomes of research using effective forms of representation of data or ideas and scientific language that is appropriate for the target audience; using digital technologies to access information and to communicate and collaborate with others on and off site"
ACSSU149	8	Science	Science Understanding	Biological Sciences	"Cells are the basic units of living things; they have specialised structures and functions"	"_ examining a variety of cells using a light microscope, by digital technology or by viewing a simulation; distinguishing plant cells from animal or fungal cells; identifying structures within cells and describing their function; recognising that some organisms consist of a single cell; recognising that cells reproduce via cell division; describing mitosis as cell division for growth and repair"
ACSSU150	8	Science	Science Understanding	Biological Sciences	Multi-cellular organisms contain systems of organs carrying out specialised functions that enable them to survive and reproduce 	"_ identifying the organs and overall function of a system of a multicellular organism in supporting the life processes; describing the structure of each organ in a system and relating its function to the overall function of the system; examining the specialised cells and tissues involved in structure and function of particular organs; comparing similar systems in different organisms such as digestive systems in herbivores and carnivores, respiratory systems in fish and mammals; distinguishing between asexual and sexual reproduction; comparing reproductive systems of organisms"
ACSSU151	8	Science	Science Understanding	Chemical Sciences	Properties of the different states of matter can be explained in terms of the motion and arrangement of particles 	"_ explaining why a model for the structure of matter is needed; modelling the arrangement of particles in solids, liquids and gases; using the particle model to explain observed phenomena linking the energy of particles to temperature changes"
ACSSU152	8	Science	Science Understanding	Chemical Sciences	Differences between elements, compounds and mixtures can be described at a particle level 	"_ modelling the arrangement of particles in elements and compounds; recognising that elements and simple compounds can be represented by symbols and formulas; locating elements on the periodic table"
ACSSU225	8	Science	Science Understanding	Chemical Sciences	Chemical change involves substances reacting to form new substances	"_ identifying the differences between chemical and physical changes; identifying evidence that a chemical change has taken place; investigating simple reactions such as combining elements to make a compound; recognising that the chemical properties of a substance, for example its flammability and ability to corrode, will affect its use"
